offer_id,price_segment,price_rub,pred_rub,residual_rub
330840927,premium,110000,112687.20281389242,-2687.2028138924215
329618722,econom,70000,67321.76873865814,2678.2312613418617
330096165,business,75000,71055.03180961926,3944.968190380736
329996198,business,118900,109477.48083631982,9422.519163680176
305691849,premium,60000,58092.44950859006,1907.5504914099365
330945004,comfort,95000,100054.70182666258,-5054.701826662582
328437105,comfort,180000,245000.36542374163,-65000.365423741634
326498867,premium,300000,271520.60996301204,28479.390036987956
321931583,premium,550000,481063.46187920845,68936.53812079155
330685166,econom,45000,40966.81592375095,4033.1840762490465
330748346,premium,280000,258870.2474235416,21129.752576458413
329269576,comfort,190000,196511.80415310763,-6511.804153107631
325650043,econom,100000,90132.29550581244,9867.704494187565
325176952,business,360000,369432.42108244746,-9432.421082447458
330850852,business,50000,61899.88889018822,-11899.888890188216
220112813,business,110000,89475.70349526525,20524.296504734753
330596006,business,80000,92342.1138895924,-12342.113889592394
330395494,premium,65000,62324.88528904742,2675.1147109525773
310480675,business,60000,71269.9778438677,-11269.977843867702
330433306,business,73000,72285.296917834,714.703082166001
330172751,business,80000,73064.34962933452,6935.650370665477
329813988,business,100000,94376.42833747387,5623.571662526127
323829380,business,80000,74655.52983909275,5344.470160907251
168860528,econom,55000,50372.932387487606,4627.067612512394
311482202,premium,260000,217327.7908691768,42672.209130823205
230874839,econom,65000,63832.38723347617,1167.612766523831
329686702,econom,55000,56318.73515060604,-1318.7351506060368
306693226,business,70000,71796.5971620561,-1796.5971620561031
330907149,business,62000,67794.6225872385,-5794.622587238497
329781622,business,85000,64543.33852897535,20456.66147102465
230333795,business,65000,55392.96426239124,9607.035737608763
330212966,comfort,75000,79333.48778769899,-4333.487787698992
330791517,econom,120000,147246.86961825413,-27246.86961825413
330117987,premium,165000,184323.0419326892,-19323.0419326892
330698236,econom,40000,42281.39970926546,-2281.399709265461
330705910,premium,400000,249872.24315195892,150127.75684804108
328378159,premium,75000,68519.95701745794,6480.042982542058
328416969,business,95000,84608.62661924129,10391.373380758712
330115615,comfort,58000,63826.41333696236,-5826.41333696236
330781846,premium,115000,114046.911050727,953.0889492730057
329385528,comfort,80000,96647.9642843101,-16647.964284310103
330735279,comfort,50000,49606.134153321,393.86584667900024
322151123,business,70000,62043.26015417994,7956.739845820062
329386207,comfort,50000,49490.61042305936,509.3895769406372
330878948,comfort,55000,48057.736350978186,6942.263649021814
330834210,premium,280000,248194.6894392959,31805.310560704092
292491010,econom,39000,43619.048956054095,-4619.0489560540955
330382639,comfort,60000,64750.96688730652,-4750.966887306517
330714559,econom,57000,60237.49990058052,-3237.499900580522
327323196,econom,150000,178525.41567909246,-28525.41567909246
330118657,premium,380000,360156.0955641924,19843.904435807606
314850574,premium,140000,133830.58620866283,6169.413791337167
315877408,premium,100000,123189.2744389344,-23189.2744389344
330923671,comfort,60400,55681.04694193498,4718.953058065017
330354033,business,90000,89990.22674494493,9.773255055071786
330387687,premium,110000,51572.74818091328,58427.25181908672
326321847,econom,60000,65060.85076841435,-5060.850768414348
330443393,comfort,35000,38274.43836343388,-3274.438363433881
330697419,business,185000,199240.83088900015,-14240.83088900015
317941195,comfort,60000,59585.00010300538,414.9998969946173
330544252,econom,67000,66571.44011436937,428.55988563063147
329960107,econom,140000,227594.72836701147,-87594.72836701147
278962770,comfort,35000,47020.24210993337,-12020.242109933373
329406709,comfort,100000,97917.76079885232,2082.239201147677
330228734,business,73400,76551.39427406612,-3151.394274066115
330784640,premium,75000,69052.16915673748,5947.83084326252
328176534,econom,85000,86613.05342925999,-1613.0534292599914
324258366,premium,70000,72465.89939869421,-2465.899398694208
330717519,econom,65000,64626.5006095822,373.49939041779726
330943590,econom,75000,75915.43549869943,-915.4354986994294
322699256,business,75000,82625.65531118255,-7625.655311182549
330558139,premium,450000,257254.84400812155,192745.15599187845
327784489,premium,140000,169583.51434422843,-29583.51434422843
312346739,econom,48000,46238.70962273202,1761.2903772679783
325189448,comfort,65000,75437.2169121639,-10437.216912163902
328161349,econom,100000,99163.70092593334,836.2990740666573
330779056,premium,130000,131638.26532656932,-1638.2653265693225
330355416,premium,270000,187904.98218825136,82095.01781174864
323842072,premium,95000,84130.14900382845,10869.850996171546
330928372,econom,50000,59081.19224498512,-9081.192244985119
330423642,premium,115000,91844.78283113902,23155.21716886098
330720967,business,76000,76159.06648574847,-159.06648574846622
330685765,business,99000,67270.76619448168,31729.23380551832
330851531,comfort,50000,52122.9013337712,-2122.901333771202
321429860,comfort,120000,112183.55210058152,7816.447899418476
320809965,comfort,65000,77898.32867072878,-12898.328670728777
